prev_pos ,new_pos, spo_selected, movement_dir, special_pos, failed_movement, gem_collected, keypress_used
"(7,3)","(7,4)",6.25,topRight,True,False,False,True
"(7,4)","(7,5)",6.25,topRight,True,False,True,True
"(7,5)","(6,5)",10,topLeft,False,False,False,True
"(6,5)","(5,5)",10,topLeft,False,False,False,True
"(5,5)","(4,5)",10,topLeft,True,False,True,True
"(4,5)","(4,6)",10,topRight,False,False,False,False
"(4,6)","(4,7)",6.25,topRight,True,False,True,False
"(4,7)","(4,7)",6.25,topRight,True,True,False,False
"(4,7)","(5,7)",10,bottomRight,False,False,False,False
"(5,7)","(4,7)",11.11,topLeft,False,False,False,False
"(4,7)","(4,6)",14.28,bottomLeft,False,False,False,True
"(4,6)","(4,7)",10,topRight,False,False,False,True
"(4,7)","(5,7)",11.11,bottomRight,False,False,False,True
"(5,7)","(5,8)",10,topRight,True,False,True,True
"(5,8)","(6,8)",11.11,bottomRight,False,False,False,True
"(6,8)","(7,8)",11.11,bottomRight,False,False,False,False
"(7,8)","(6,8)",11.11,topLeft,False,False,False,False
"(6,8)","(7,8)",6.25,bottomRight,False,False,False,False
"(7,8)","(7,7)",11.11,bottomLeft,False,False,False,False
"(7,7)","(7,8)",14.28,topRight,False,False,False,False
"(7,8)","(7,9)",10,topRight,False,False,False,True
"(7,9)","(7,10)",10,topRight,True,False,True,True
"(7,10)","(8,10)",11.11,bottomRight,False,False,False,True
"(8,10)","(9,10)",11.11,bottomRight,False,False,False,True
"(9,10)","(9,9)",14.28,bottomLeft,False,False,False,True
"(9,9)","(9,10)",14.28,topRight,False,False,False,False
"(9,10)","(8,10)",10,topLeft,False,False,False,False
"(8,10)","(9,10)",6.25,bottomRight,False,False,False,False
"(9,10)","(9,9)",11.11,bottomLeft,False,False,False,False
"(9,9)","(9,8)",14.28,bottomLeft,True,False,True,False
"(9,8)","(9,7)",14.28,bottomLeft,False,False,False,True
"(9,7)","(9,6)",14.28,bottomLeft,False,False,False,True
"(9,6)","(10,6)",11.11,bottomRight,False,False,False,True
"(10,6)","(11,6)",11.11,bottomRight,False,False,False,True
"(11,6)","(11,7)",10,topRight,True,False,True,True
"(11,7)","(11,7)",10,topRight,True,True,False,False
"(11,7)","(11,7)",11.11,topRight,True,True,False,False
"(11,7)","(11,6)",10,bottomLeft,False,False,False,False
"(11,6)","(10,6)",14.28,topLeft,False,False,False,False
"(10,6)","(11,6)",6.25,bottomRight,False,False,False,False
"(11,6)","(12,6)",11.11,bottomRight,False,False,False,True
"(12,6)","(13,6)",11.11,bottomRight,True,False,True,True
"(13,6)","(12,6)",11.11,topLeft,True,False,False,True
"(12,6)","(11,6)",11.11,topLeft,False,False,False,True
"(11,6)","(10,6)",11.11,topLeft,False,False,False,True
"(10,6)","(10,6)",11.11,topLeft,False,True,False,False
"(10,6)","(9,6)",10,topLeft,False,False,False,False
"(9,6)","(10,6)",11.11,bottomRight,False,False,False,False
"(10,6)","(10,5)",6.25,bottomLeft,False,False,False,False
"(10,5)","(10,4)",14.28,bottomLeft,False,False,False,False
"(10,4)","(10,5)",11.11,topRight,False,False,False,True
"(10,5)","(10,5)",10,topRight,False,True,False,True
"(10,5)","(10,5)",10,topRight,False,True,False,True
"(10,5)","(10,4)",14.28,bottomLeft,False,False,False,True
"(10,4)","(10,5)",11.11,topRight,False,False,False,True
"(10,5)","(10,4)",14.28,bottomLeft,False,False,False,True
"(10,4)","(9,4)",10,topLeft,True,False,True,True
"(9,4)","(9,3)",14.28,bottomLeft,False,False,False,True
"(9,3)","(9,2)",14.28,bottomLeft,True,False,True,True
